hydroID,hydroCode,lon,lat,easting,northing,projection,elevation,gw_bore_depth,gw_level,gw_level_std,gw_level_mean_Neil,gw_level_std_Neil,diff
30144290,574200015,134.094619,-27.539529,-780457.9792,6886384.335,53,325.2627203,222.81,168.55,0,168.55,,0
30097827,564200028,133.958227,-27.724575,-791889.5104,6864125.782,53,316.9013923,185.35,163.6,0,163.6,,0
30162219,603800013,135.911717,-29.859312,-574335.0767,6644632.509,53,170.1903053,160.32,154.84,0,154.84,,0
30091459,564200019,133.865296,-27.612085,-802557.0229,6875768.128,53,290.9770578,182,153.2625,1.872623494,153.2625,2.162319357,0
30115057,574400008,134.025238,-26.54979,-799069.9961,6996931.903,53,301.2775997,198,151,0,151,,0
30182956,574000050,134.277677,-28.581086,-749697.0372,6771337.275,53,276.041776,160,145.5,0,145.5,,0
30097370,574100002,134.155987,-28.433898,-763557.7686,6786558.127,53,275.461843,148.44,142.8,0,142.8,,0
30160786,574100029,134.144432,-28.255322,-766878.7267,6806491.462,53,275.52504,164,142.3333333,0.471404521,142.3333333,0.577350269,0
30073879,574100044,134.144432,-28.255322,-766878.7267,6806491.462,53,275.52504,170,142,0,142,,0
30083651,574200171,134.052226,-27.9206,-780123.0621,6843106.38,53,284.2758387,170.6,142,0,142,,0
30115903,574100042,134.151005,-28.259787,-766170.8119,6806060.547,53,274.9070025,160,142,0,142,,0
30145544,574200159,134.021364,-27.831217,-784286.5774,6852819.321,53,301.7462887,195,141.14,0,141.14,,0
30090664,574100040,134.144432,-28.25526,-766879.4792,6806498.427,53,275.53248,161,141,0,141,,0
30159868,574100046,134.15049,-28.260416,-766214.399,6805984.361,53,274.8310247,166.5,141,0,141,,0
30185843,574100039,134.205514,-28.451365,-758428.8283,6785129.398,53,263.0100591,151,136,0,136,,0
30100658,574100027,134.191667,-28.461762,-759676.6681,6783812.98,53,268.7343058,151,135,0,135,,0
30158780,574300010,134.247229,-27.330485,-767621.2596,6911481.995,53,277.535526,161.54,134.955,0.845,134.955,1.19501046,0
30115054,573900003,134.246415,-29.025256,-747356.1771,6721136.767,53,171,214.27,132.89,0,132.89,,0
30068604,574100045,134.102079,-28.224487,-771466.7776,6809499.455,53,263.18792,171,131,0,131.025,0.035355339,0.025
30081560,574300004,134.256429,-27.471699,-765046.3028,6895711.488,53,315.0935294,162.15,130.15,2.13,130.15,3.012274888,0
30094904,574400009,134.111219,-26.618867,-789577.8557,6990057.061,53,283.5434,222,128,0,128,,0
30149300,574100004,134.110433,-28.369315,-768870.306,6793320.461,53,259.1640658,135,127.4,0,127.4,,0
30161758,564200020,133.8814,-27.818564,-798427.5784,6852727.981,53,268.0076582,136,126.8666667,0.418993503,126.8666667,0.513160144,0
30091282,603800003,135.565784,-29.773104,-609043.7919,6650936.198,53,207.00032,179.83,125.88,0,125.88,,0
30086294,574000058,134.390759,-28.674828,-737363.4255,6762020.2,53,260.7697243,138,122.9,4.9,122.9,6.929646456,0
30079021,603800012,135.914211,-29.764612,-575123.9317,6655249.219,53,183.5715126,199.64,121.31,0,121.31,,0
30148293,574100003,134.055543,-28.495699,-772770.1021,6778528.441,53,251.5654305,124.97,117.96,0,118.405,0.629325035,0.445
30164700,564200023,133.783787,-27.514293,-811917.4144,6885880.276,53,295.8807067,152,115,0,115,,0
30095707,584000043,134.507795,-28.753308,-724842.1328,6754451.408,53,239.2277036,126,111,1,111,1.414213562,0
30101774,583900064,134.76371,-29.014718,-696471.2501,6727804.097,53,222.2413021,139,110,0,110,,0
30072121,574200007,134.264949,-27.951695,-758524.7732,6841880.368,53,244.5087552,115.82,107.29,0,107.055,0.332340187,0.235
30086143,564200027,133.782117,-27.859606,-807846.1177,6847029.027,53,244.932409,128,107,1,107,1.414213562,0
30078434,564200005,133.782117,-27.859606,-807846.1177,6847029.027,53,244.932409,108,106,0,106,,0
30152015,574000020,134.1924441,-28.617297,-757702.1969,6766355.263,53,237.3664918,111.86,105.08,0.08,105.08,0.113137085,0
30064209,574000011,134.4213,-28.806797,-732750.8972,6747533.432,53,236.58688,110.03,104.24,0,104.24,,0
30139850,584000002,134.587318,-28.865183,-715647.7627,6742735.743,53,238.4685536,108.2,103.02,0,103.02,,0
30119015,583900065,134.76371,-29.014718,-696471.2501,6727804.097,53,222.2413021,135.5,102.9,6.9,102.9,9.75807358,0
30121891,583900060,134.9076349,-29.116397,-681100.2934,6717888.945,53,223.3113308,122,102.25,0.25,102.25,0.353553391,0
30064210,574000062,134.192506,-28.617297,-757696.0636,6766355.931,53,237.3570354,118,102,0,102,,0
30146509,574300035,134.098613,-27.336169,-782470.6116,6909283.407,53,322.1443276,131,99.29,0,101.9108333,1.069651246,2.620833333
30078798,584000001,134.583484,-28.787924,-716946.6527,6751363.023,53,220.5646808,105.16,100.58,0,100.58,,0
30081980,574000005,134.23364,-28.747355,-752032.1916,6752196.459,53,221.563659,107.9,100.58,0,100.58,,0
30145085,574200009,134.319567,-27.950967,-753086.1914,6842538.01,53,234.5713469,117.96,100.58,0,100.58,,0
30089766,574200176,134.474847,-27.923402,-737925.2605,6847255.546,53,241.6239136,125,100,0,100.18,0.311769145,0.18
30189152,583900008,134.724047,-29.037412,-700112.1545,6724847.068,53,225.0040724,103.48,99.6,0,99.6,,0
30174702,574200023,134.26366,-27.752869,-761012.2446,6864199.937,53,234.4001773,109.73,97.23,0,97.23,,0
30110533,584000030,134.602699,-28.86808,-714094.3476,6742572.069,53,218.06096,158,95.35,0.35,95.35,0.494974747,0
30173210,574200010,134.389854,-27.970217,-745850.4114,6841113.659,53,221.7971611,117.35,95.07333333,2.623398983,95.07333333,3.21299445,0
30097624,584300027,134.631975,-27.28278,-729566.555,6920786.535,53,233.1351232,126,94,0,94,,0
30078721,574000013,134.460257,-28.907453,-727687.5158,6736651.865,53,216.1145741,101.5,93.88,0,93.88,,0
30103198,603800007,135.830649,-29.837622,-582478.1949,6646284.737,53,151.9827558,99.67,93.27,0,93.27,,0
30073847,603800026,135.639472,-29.760387,-601990.8932,6653079.734,53,211.25356,118.9,92.9,0,92.9,,0
30152008,564400017,133.9431214,-26.8377856,-804001.5781,6963678.085,53,287.989074,94.78,92.3,0,92.3,,0
30133683,574300028,134.055473,-27.232717,-788026.5681,6920456.703,53,291.0033321,94,91.5,1.5,91.5,2.121320344,0
30165385,663800004,138.700189,-29.76873,-303779.7759,6677805.561,54,95.01788,220.98,91.44,0,91.44,,0
30131130,574000022,134.332808,-28.752629,-742156.9643,6752669.516,53,233.1496243,97.54,91.44,0,91.44,,0
30170855,603700124,135.919678,-30.178039,-570065.7651,6609059.42,53,137.41924,99.06,91.44,0,91.44,,0
